condition_group_id	condition_id	date_created	date_modified
345	253	2018-02-10 05:15:39	2018-02-10 05:15:39
345	254	2018-02-10 05:15:39	2018-02-10 05:15:39
345	255	2018-02-10 05:15:39	2018-02-10 05:15:39
345	256	2018-02-10 05:15:39	2018-02-10 05:15:39
345	257	2018-02-10 05:15:39	2018-02-10 05:15:39
345	258	2018-02-10 05:15:39	2018-02-10 05:15:39
348	259	2018-02-10 05:15:39	2018-02-10 05:15:39
348	260	2018-02-10 05:15:39	2018-02-10 05:15:39
348	261	2018-02-10 05:15:39	2018-02-10 05:15:39
349	262	2018-02-10 05:15:39	2018-02-10 05:15:39
349	263	2018-02-10 05:15:39	2018-02-10 05:15:39
349	264	2018-02-10 05:15:39	2018-02-10 05:15:39
350	265	2018-02-10 05:15:39	2018-02-10 05:15:39
350	266	2018-02-10 05:15:39	2018-02-10 05:15:39
353	267	2018-02-10 05:15:39	2018-02-10 05:15:39
353	268	2018-02-10 05:15:39	2018-02-10 05:15:39
353	269	2018-02-10 05:15:39	2018-02-10 05:15:39
353	270	2018-02-10 05:15:39	2018-02-10 05:15:39
353	271	2018-02-10 05:15:39	2018-02-10 05:15:39
353	272	2018-02-10 05:15:39	2018-02-10 05:15:39
353	273	2018-02-10 05:15:39	2018-02-10 05:15:39
353	274	2018-02-10 05:15:39	2018-02-10 05:15:39
353	275	2018-02-10 05:15:39	2018-02-10 05:15:39
353	276	2018-02-10 05:15:39	2018-02-10 05:15:39
354	277	2018-02-10 05:15:39	2018-02-10 05:15:39
354	278	2018-02-10 05:15:39	2018-02-10 05:15:39
354	279	2018-02-10 05:15:39	2018-02-10 05:15:39
354	280	2018-02-10 05:15:39	2018-02-10 05:15:39
354	281	2018-02-10 05:15:39	2018-02-10 05:15:39
355	282	2018-02-10 05:15:39	2018-02-10 05:15:39
355	283	2018-02-10 05:15:39	2018-02-10 05:15:39
355	284	2018-02-10 05:15:39	2018-02-10 05:15:39
356	285	2018-02-10 05:15:39	2018-02-10 05:15:39
356	286	2018-02-10 05:15:39	2018-02-10 05:15:39
356	287	2018-02-10 05:15:39	2018-02-10 05:15:39
356	288	2018-02-10 05:15:39	2018-02-10 05:15:39
356	289	2018-02-10 05:15:39	2018-02-10 05:15:39
358	290	2018-02-10 05:15:39	2018-02-10 05:15:39
